Country,NUTS CODE 2016,merged regions_code,capital region,NUTS NAME,Year,Year z-score,value,2019 vs 2016,2016 vs 2013,2013 vs 2010
Germany,DE13,,other,DE13 - Freiburg,2016,RCI 2016 z-scores,0.57,-0.003097796108726,-0.055022567,0.155117601
Germany,DE13,,other,DE13 - Freiburg,2013,RCI 2013 z-scores,0.63,-0.003097796108726,-0.055022567,0.155117601
Germany,DE13,,other,DE13 - Freiburg,2010,RCI 2010 z-scores,0.47,-0.003097796108726,-0.055022567,0.155117601
Germany,DE14,,other,DE14 - Tübingen,2019,RCI 2019 z-scores,0.68,0.015812594362908,-0.025516867,0.226715406
Germany,DE14,,other,DE14 - Tübingen,2016,RCI 2016 z-scores,0.66,0.015812594362908,-0.025516867,0.226715406
Germany,DE14,,other,DE14 - Tübingen,2013,RCI 2013 z-scores,0.69,0.015812594362908,-0.025516867,0.226715406
Germany,DE14,,other,DE14 - Tübingen,2010,RCI 2010 z-scores,0.46,0.015812594362908,-0.025516867,0.226715406
Germany,DE21,,other,DE21 - Oberbayern,2019,RCI 2019 z-scores,0.92,-0.008976303795532,-0.028867708,0.086386432
Germany,DE21,,other,DE21 - Oberbayern,2016,RCI 2016 z-scores,0.93,-0.008976303795532,-0.028867708,0.086386432
Germany,DE21,,other,DE21 - Oberbayern,2013,RCI 2013 z-scores,0.96,-0.008976303795532,-0.028867708,0.086386432
Germany,DE21,,other,DE21 - Oberbayern,2010,RCI 2010 z-scores,0.88,-0.008976303795532,-0.028867708,0.086386432
Germany,DE22,,other,DE22 - Niederbayern,2019,RCI 2019 z-scores,0.33,0.025738584925328,0.00011212,0.168307352
Germany,DE22,,other,DE22 - Niederbayern,2016,RCI 2016 z-scores,0.31,0.025738584925328,0.00011212,0.168307352
Germany,DE22,,other,DE22 - Niederbayern,2013,RCI 2013 z-scores,0.31,0.025738584925328,0.00011212,0.168307352
Germany,DE22,,other,DE22 - Niederbayern,2010,RCI 2010 z-scores,0.14,0.025738584925328,0.00011212,0.168307352
Germany,DE23,,other,DE23 - Oberpfalz,2019,RCI 2019 z-scores,0.44,-0.011094117369706,-0.007226076,0.151243748
Germany,DE23,,other,DE23 - Oberpfalz,2016,RCI 2016 z-scores,0.45,-0.011094117369706,-0.007226076,0.151243748
Germany,DE23,,other,DE23 - Oberpfalz,2013,RCI 2013 z-scores,0.46,-0.011094117369706,-0.007226076,0.151243748
Germany,DE23,,other,DE23 - Oberpfalz,2010,RCI 2010 z-scores,0.31,-0.011094117369706,-0.007226076,0.151243748
Germany,DE24,,other,DE24 - Oberfranken,2019,RCI 2019 z-scores,0.42,0.000469960972841,-0.024975394,0.267253448
Germany,DE24,,other,DE24 - Oberfranken,2016,RCI 2016 z-scores,0.42,0.000469960972841,-0.024975394,0.267253448
Germany,DE24,,other,DE24 - Oberfranken,2013,RCI 2013 z-scores,0.45,0.000469960972841,-0.024975394,0.267253448
Germany,DE24,,other,DE24 - Oberfranken,2010,RCI 2010 z-scores,0.18,0.000469960972841,-0.024975394,0.267253448
Germany,DE25,,other,DE25 - Mittelfranken,2019,RCI 2019 z-scores,0.62,-0.007824056447913,-0.095768519,0.236785005
Germany,DE25,,other,DE25 - Mittelfranken,2016,RCI 2016 z-scores,0.62,-0.007824056447913,-0.095768519,0.236785005
Germany,DE25,,other,DE25 - Mittelfranken,2013,RCI 2013 z-scores,0.72,-0.007824056447913,-0.095768519,0.236785005
Germany,DE25,,other,DE25 - Mittelfranken,2010,RCI 2010 z-scores,0.48,-0.007824056447913,-0.095768519,0.236785005
Germany,DE26,,other,DE26 - Unterfranken,2019,RCI 2019 z-scores,0.54,0.020178728500359,-0.011600955,0.178106695
Germany,DE26,,other,DE26 - Unterfranken,2016,RCI 2016 z-scores,0.52,0.020178728500359,-0.011600955,0.178106695
Germany,DE26,,other,DE26 - Unterfranken,2013,RCI 2013 z-scores,0.53,0.020178728500359,-0.011600955,0.178106695
Germany,DE26,,other,DE26 - Unterfranken,2010,RCI 2010 z-scores,0.35,0.020178728500359,-0.011600955,0.178106695
Germany,DE27,,other,DE27 - Schwaben,2019,RCI 2019 z-scores,0.51,0.043935608729427,-0.033863489,0.192372608
Germany,DE27,,other,DE27 - Schwaben,2016,RCI 2016 z-scores,0.46,0.043935608729427,-0.033863489,0.192372608
Germany,DE27,,other,DE27 - Schwaben,2013,RCI 2013 z-scores,0.5,0.043935608729427,-0.033863489,0.192372608
Germany,DE27,,other,DE27 - Schwaben,2010,RCI 2010 z-scores,0.3,0.043935608729427,-0.033863489,0.192372608
Germany,DE50,,other,DE50 - Bremen,2019,RCI 2019 z-scores,0.47,0.065338567766095,-0.187840517,0.308244953
Germany,DE50,,other,DE50 - Bremen,2016,RCI 2016 z-scores,0.41,0.065338567766095,-0.187840517,0.308244953
Germany,DE50,,other,DE50 - Bremen,2013,RCI 2013 z-scores,0.59,0.065338567766095,-0.187840517,0.308244953
Germany,DE50,,other,DE50 - Bremen,2010,RCI 2010 z-scores,0.28,0.065338567766095,-0.187840517,0.308244953
Germany,DE60,,other,DE60 - Hamburg,2019,RCI 2019 z-scores,0.81,-0.001580591186914,-0.168319059,0.296233415
Germany,DE60,,other,DE60 - Hamburg,2016,RCI 2016 z-scores,0.81,-0.001580591186914,-0.168319059,0.296233415
Germany,DE60,,other,DE60 - Hamburg,2013,RCI 2013 z-scores,0.98,-0.001580591186914,-0.168319059,0.296233415
Germany,DE60,,other,DE60 - Hamburg,2010,RCI 2010 z-scores,0.69,-0.001580591186914,-0.168319059,0.296233415
Germany,DE71,,other,DE71 - Darmstadt,2019,RCI 2019 z-scores,0.78,-0.071591143874318,-0.19817444,0.292848519
Germany,DE71,,other,DE71 - Darmstadt,2016,RCI 2016 z-scores,0.85,-0.071591143874318,-0.19817444,0.292848519
Germany,DE71,,other,DE71 - Darmstadt,2013,RCI 2013 z-scores,1.05,-0.071591143874318,-0.19817444,0.292848519
Germany,DE71,,other,DE71 - Darmstadt,2010,RCI 2010 z-scores,0.76,-0.071591143874318,-0.19817444,0.292848519
Germany,DE72,,other,DE72 - Gießen,2019,RCI 2019 z-scores,0.56,0.00711405396651,-0.069720252,0.308048655
Germany,DE72,,other,DE72 - Gießen,2016,RCI 2016 z-scores,0.55,0.00711405396651,-0.069720252,0.308048655
Germany,DE72,,other,DE72 - Gießen,2013,RCI 2013 z-scores,0.62,0.00711405396651,-0.069720252,0.308048655
Germany,DE72,,other,DE72 - Gießen,2010,RCI 2010 z-scores,0.31,0.00711405396651,-0.069720252,0.308048655
Germany,DE73,,other,DE73 - Kassel,2019,RCI 2019 z-scores,0.35,-0.048828174814349,-0.03642401,0.251834937
Germany,DE73,,other,DE73 - Kassel,2016,RCI 2016 z-scores,0.4,-0.048828174814349,-0.03642401,0.251834937
Germany,DE73,,other,DE73 - Kassel,2013,RCI 2013 z-scores,0.43,-0.048828174814349,-0.03642401,0.251834937
Germany,DE73,,other,DE73 - Kassel,2010,RCI 2010 z-scores,0.18,-0.048828174814349,-0.03642401,0.251834937
