iso3c,year,NEER_EA19,RGDP_EA19,RHICP_EA19,RULC_EA19,RXPI_EA19,NEER_EU27,RGDP_EU27,RHICP_EU27,RULC_EU27,RXPI_EU27,NEER_IC37,RGDP_IC37,RHICP_IC37,RULC_IC37,RXPI_IC37,NEER_Gr42,RGDP_Gr42,RHICP_Gr42,loans,banking_leverage,current_account_avg3y,direct_investment_stocks,current_account,export_oecd_5ychange,lending_borrowing,direct_investment_flows,trade_balance_energy,REER_42tp_change1y,REER_42tp_change3y,REER_euro_change3y,export_shares_change5y,export_shares_change1y,export_shares_vol_change1y,finance_liabs_ch1y,finance_liabs_mio,debt_gov,house_prices_real_ch1y,house_prices_nom_ch3y,int_inv_pos,int_inv_pos_adj,poverty_risk_perc,poverty_risk_ch3y,povery_risk_post_transfer_perc,povery_risk_post_transfer_perc_ch3y,deprived_perc,deprived_perc_ch3y,low_work_perc,low_work_perc_ch3y,ulc_ch3y,ulc_ch1y,ulc_perf_eu_ch10y,activity_rate_perc,activity_rate_perc_ch3y,unemp_long_perc,unemp_long_perc_ch3y,unemp_youth_perc,unemp_youth_ch3y,neet_youth_perc,neet_youth_perc_ch3y,gdp_real_ch1y,cap_formation,tot_ch5y,construction,employment_ch1y,productitivy_labor,credit_priv_flow,debt_priv,debt_households,rd_exp,unemp_avg3y,unemp_rate,finance_debt_to_equity,debt_external,ulc_ch10y,debt_priv_perc,credit_flow_priv
USA,2015,119.318045974934,122.121178348374,120.436476131548,123.618403688663,116.914555420587,119.522658663309,122.187948880509,120.798685655819,123.790877675162,117.054358754997,123.045369914696,124.249136946893,122.016638216962,125.459019845092,117.981654323102,119.209362811954,115.747862571436,114.645462345914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,2015,96.0766354389615,96.5459746943729,97.0366449988742,100.625970546161,98.6400695455422,96.2194812346867,96.6205883744227,97.3009096539331,100.655858406171,98.7916745020643,84.5355813867663,83.6935803058456,84.4601956719099,85.5933225235082,88.1100229970573,83.7138900484368,81.8982801354182,82.8289892799066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,2015,94.8695416188131,106.575103082396,105.315576386413,105.133105915873,108.599267096873,94.985142373977,106.643004552127,105.574833648857,105.108241007726,108.771070518967,82.7534215496165,91.7360750136991,91.1025757480773,88.4210565085055,96.4735496678968,83.012834034534,90.8540035662504,90.4290958040263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2015,62.8683800940527,86.0494292142454,80.8163378840542,48.9575920235984,50.7381829572393,62.9928422522557,86.1255884539592,81.0635825958966,49.0279887485301,50.8038790391424,60.665539061659,82.6841638615094,77.449411673965,46.7057430501365,49.1155774690459,57.4276507607466,75.4895044771877,71.2350829158717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2015,97.5698694486722,93.3217563171232,101.485000357659,96.4562323335046,73.9336133721764,97.7316221405673,93.3913232896325,101.779542477423,96.5840290528576,74.037407994146,98.2348170518164,95.4123991226393,103.286785755496,99.3252832657972,73.42263327815,89.0719504789896,82.6772896106118,90.0516591655349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,2015,115.259885743996,116.478510869676,115.527622470517,114.433100546012,108.654716724216,115.456092883528,116.563381342528,115.870622452339,114.58731971194,108.807677461657,113.75854487254,116.436450371896,113.125576689224,113.565131515896,113.533197708435,107.024824795377,105.930968300588,103.635505549779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2015,86.4316461732839,81.8024814639314,83.1347691015502,79.9403082371406,91.1760428436683,86.5960785588865,81.877876437976,83.392046633465,80.0571772879996,91.3063426751961,80.4550502111022,75.49476448244,76.354981373692,72.9726463430027,87.74439405226,76.3843722026922,68.6482754917238,70.1214390774319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2015,128.475503222694,140.434485183617,136.950232922906,163.727043276256,119.303749457008,128.770214014681,140.586724771497,137.416338754555,164.060866910055,119.462674994406,125.425861041567,137.052347589901,133.083181717731,159.008401635122,116.8046527102,126.486058212075,134.172521655999,130.387552207034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,2015,119.578647413177,130.698349963501,136.463138118685,112.951946812874,114.622092728693,119.797983682822,130.815024319765,136.883423383045,113.124247815035,114.794941789089,117.999404930144,130.41435222186,134.921553224315,112.511563975567,115.12833224175,103.668963758289,107.629695747136,113.411876863105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2015,121.841443614843,123.138101542378,124.255879821342,124.679016535315,102.990522333511,122.146595323081,123.301475775607,124.707086593328,124.954404382536,103.141350032827,120.379951445131,122.092211964418,122.313059058231,123.203292339071,102.455577820901,113.112548817542,108.413746053783,109.996228452474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,2016,99.9986989650793,102.136423613656,102.513067666014,100.111788676855,99.099728642468,100.527199202891,102.503702727212,103.148355689248,100.548479389911,99.4642983723244,99.4097192731841,100.482686436846,100.705398122827,98.0524147644904,97.8606786253923,100.620462422012,99.2739471315153,99.4585941351561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2016,99.9970924204778,102.861624313011,100.240791845732,106.951045054102,101.028820288781,101.041875460208,103.430856285673,101.433257476853,107.335302009765,101.577582445858,98.9863595390698,100.137192288329,97.9066944875039,102.447350974969,99.0417989291622,100.399311467482,98.3168657778212,96.1495359446082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,2016,99.9494789767146,110.824542691469,105.565814437916,115.380423184347,103.780411414534,100.525386548084,111.348013642664,106.771112759593,115.661659314421,104.690848017833,100.844717941984,110.773895483421,105.745964848376,114.181685955947,104.299630823431,109.227570981689,113.087652584068,107.626305592996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,2016,99.9988788275865,105.136613214844,95.8492392126429,76.5540021859379,105.635786959239,100.474204814658,105.474134973716,96.4479781808427,76.8882796003837,106.007128813506,95.2047384106617,99.0852423905704,90.281934004935,72.1833579760532,100.796760659406,95.6344586372105,98.1426056102455,89.3768008735297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,2016,99.9984864971349,89.2486285750384,93.3269872192362,82.4606900211249,92.0251752674755,100.714277309911,89.3744618018669,94.1443857700999,82.6854683037951,92.2021672386298,104.049053314142,88.9295756329103,93.033913822731,80.960856074834,91.0472989170063,105.959641588385,87.8010110744038,91.7789888798882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2016,99.9989005705635,93.9394769096495,98.1090394215573,89.0532999925154,100.630591147637,100.508666984852,94.2780331557203,98.719658983462,89.4204449690854,100.979865268926,99.9057813566563,92.5922309339281,96.5039721527607,87.2982618646552,99.2221742406137,101.112269608584,91.4312407940201,95.3815989889373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2016,99.9986467892264,97.8320908361242,98.588238052364,100.40354854644,99.7923014252777,100.561501081859,98.2074493097501,99.2638482510916,100.828594844077,100.199989206861,99.1447359040639,96.1267659964873,96.6294615476,97.8749794575576,98.3552017567953,99.7219379946789,94.2069730819084,94.6681772619344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2016,99.9981490829636,100.284514824363,100.067888407227,98.6110987689773,101.776369999989,100.744324076068,100.747080775927,100.894300405585,99.3254140703124,102.208115214632,99.5606170164257,98.3690880368136,98.027926431505,96.1142858118919,100.112262279061,101.063467800553,96.9945481124373,96.6483731564964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,2016,99.9981807998942,94.4062087461919,97.4541136462715,88.4338046016801,99.4495295155197,100.441268857891,94.5431921949966,97.959494950555,88.6178807125285,99.7571679130628,98.5375508817042,91.7089082146643,94.3621119576188,85.4684890259016,97.6735734187769,99.0236255791072,88.9156632949555,91.8951962812199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,2016,100.840131899688,106.364883402875,99.9046828018861,116.566278414549,108.832993101898,101.737471974728,107.419869941903,101.24273840942,117.964518346545,109.405944164225,102.669106586417,107.216321097246,100.687459835251,116.719407704309,109.01979047183,113.882856039601,110.301046531815,103.079526118281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,2016,99.9348489590192,103.612272530747,100.469160904099,112.51500022139,98.5042137727375,101.003819888803,104.689822774948,101.848680301745,113.936256650117,99.1289675520714,101.327605995769,103.836661588892,100.586956461732,111.964870720666,98.3117299265491,116.239855252196,109.34127180515,104.656600262478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,2016,99.998814770616,105.527722728343,101.275089331841,102.339101204268,115.125481518985,100.437253255528,105.842241479246,101.8325331705,102.655428038422,115.483457318478,99.8146107398013,104.409765402313,100.140474460723,100.779182542006,114.047122665281,100.636608220845,103.525900931339,99.2787428817341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,2016,99.9988677560394,105.223641498358,101.957543033169,103.149351533198,109.300001607051,100.3896217398,105.430972223638,102.465493746952,103.324911819055,109.645417022207,98.1065136402485,101.845718702139,98.4641078409853,99.2623398490825,106.945601428737,98.3114987755416,97.9929414047952,95.9450284927166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,2016,99.9984897769463,96.7036420821125,100.701454709073,98.8533893344087,96.1205724614543,100.630803868213,97.2216363329035,101.454122709114,99.3976687464144,96.6016731483923,99.6221748387821,95.6313873916954,99.2591349859897,97.122159842945,95.262060616014,100.453294752203,94.6766159554163,98.1732138101248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,2016,99.9982551289258,104.236687741795,103.723046644131,104.864716743395,101.500868942307,101.028363788096,104.921324188048,104.768904382928,105.902438344355,102.049785758786,99.5499599329657,102.918582342803,102.428291409644,103.218303289962,100.488228161862,101.477883560006,102.261858291945,101.640545503828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,2016,99.9992996502541,100.260264157747,100.416785768646,92.440436902329,98.53759091717,100.380116752245,100.466110085933,100.862808599863,92.6549666902652,98.8196576010429,99.468959529126,98.6461476004888,98.8056007410228,90.5249099740568,97.3102119327276,100.206843257791,97.3558049538821,97.5947224831374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,2016,99.997950783496,97.6763102025665,98.205282037904,94.6161565172693,99.8114521975796,101.22354007384,98.6652502372793,99.4458902313377,96.4135803038653,100.316074090754,101.422275586013,98.0519411101127,98.6320431564078,95.2391264251188,99.6559998999448,105.343247930365,98.6086530255078,98.8177871666337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,2016,99.9972601088378,94.9036823740341,100.254258244446,99.6784822800906,94.0256269619051,101.735960050848,96.1405296470382,101.937279368249,101.164188503676,94.8266388651877,101.472574528926,95.2535078917871,100.750527425372,99.7708268478158,93.9535152407176,103.624904674393,95.2188425355953,100.463592100331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,2016,99.9926917709991,104.083630088338,102.206462417424,102.626595606718,96.8350393994402,100.521608480633,104.437517145658,103.162094167214,102.819784027701,97.5039014368721,99.932397464199,102.930348956566,101.128852196004,100.457840147196,96.5053006477843,104.637930111963,102.435067162788,100.581438075946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,2016,99.9978588311349,105.58539121155,94.8388724197026,119.343410585151,105.433042901706,101.089948945289,105.904553951177,95.6523388036508,120.974029762761,106.15205677302,104.732498748829,106.157241181503,95.5064696543428,119.390028439084,105.56130415474,106.79889279994,104.998627454593,94.3833447489594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,2016,93.5302842731379,93.6929430146332,93.8573486964179,93.1703238612546,96.093793733577,94.4289241514095,94.2805075948028,94.7990629459748,93.9856494087392,96.5021781885255,94.1534118275622,93.3996784931474,93.6550169991098,92.6730542139297,95.6163595970644,96.2326774838601,93.2165340521329,93.3132721458839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,2016,100.024453264555,98.1237380147437,98.2916261170754,96.479673603028,97.5948121749248,100.500789516303,98.3404238824381,99.1278763492924,96.3842517131694,98.2255059183109,99.5712469398963,96.8977817325935,96.9706847339651,94.0615010271779,97.4384071138154,100.729843651753,95.7790408918214,95.7755133557965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,2016,96.7348689847464,93.3727984397066,95.9985026255861,81.7972295478536,100.566404783889,97.4644338025467,93.790117585084,96.7785967979907,82.2938906373829,101.052371548267,98.043634735414,93.1735667443849,95.9453300099077,81.0288781740553,100.295361572184,102.75276252372,93.788070213489,96.0773979991727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,2016,88.5162399053076,95.526944277294,91.7941130224983,93.6050195807639,91.0021296805749,89.4209751156059,96.0703988417842,92.7245456303164,94.7783473265289,91.4494549748454,89.4138946165005,95.1686239488456,91.6236509957642,93.3828766698003,90.5729051751347,91.4925243341182,94.8206136003394,91.2140467574156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2016,91.5737900644097,91.4073499590751,91.2001941031109,90.2934373129356,99.7037718210392,92.1574290654771,91.6823033520714,91.82565363751,90.6735761989428,100.358011614563,92.2710777092848,90.9593361203822,90.7312767563924,89.3933363758554,99.5279564156937,95.5595753851494,91.3313351774073,90.8563434805671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,2016,93.8155085892331,104.209576142685,97.9368967889912,92.0933641293041,93.9313388132115,94.6089578386245,104.814819233791,98.9148473332734,92.4886603736658,94.2260097858849,96.5156077285662,104.621379314836,98.3805889437463,91.4741412448926,93.680650284359,98.7985887786591,104.340789849431,97.8943030894895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,2016,100.653526879957,101.464795696207,97.5324291885164,105.749768179713,96.3396545564967,101.320027646982,102.105332432287,98.2753941447339,106.730142276859,96.6863435089966,101.185182152897,101.179395406964,96.6802833681348,104.159663536132,96.7183061644373,102.531702612198,99.9327706870495,95.4782451769313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2016,104.55217454493,107.52642266817,109.120721691213,107.353796202773,108.024576719297,105.020579142513,107.84717057365,109.760094450774,107.622153532686,108.42654767273,102.280493380349,104.655761778963,105.9251374068,103.301175159049,106.217434929907,102.662682445773,102.273322792773,103.544475477321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,2016,86.1286846415346,86.8811387299262,89.1336256462552,95.8005259209663,82.6403201051929,86.5451245352402,87.1966759241501,89.8234124368207,96.1592123034949,83.041878423522,84.6098301889898,84.5562314744477,86.610821995228,93.2136195273335,80.5953817876664,85.5652437551469,83.8588794180478,85.7857812397409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,2016,126.539679306478,115.574480378014,114.862194772106,121.121449786222,109.501841427071,127.099469665025,115.926353329799,115.466324719349,121.557658536028,109.885398607875,124.215993382711,112.444843854885,111.312321783915,117.275664950025,107.457029654816,123.661374236145,109.386480278404,108.008595323041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,2016,59.6189320406973,85.9653612762265,86.9901446730727,98.5827935080919,95.9372937431854,60.0007890266285,86.2100313110415,87.6224923573892,99.0821263345249,96.3197787249641,58.4996856501499,84.0173003790061,85.0966546531049,96.1551845254542,94.4093119540045,60.4423608373103,82.8823995923947,83.8189852562313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2016,54.2445779138448,79.8196118321677,81.3035106284096,41.725781631112,75.7484209243341,54.6088544452281,80.200315303805,81.9790394076984,41.9843075173829,76.0083587357877,55.1011546903868,79.4152708254741,80.7616316151441,41.0911246196148,75.2624096698523,53.6381486432521,76.0767668824189,77.3897375006991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2016,119.581808641987,122.546984792781,121.844084824498,124.17829032318,116.202849970559,119.938712725202,122.762312424789,122.369681305614,124.325374541541,116.596330697941,127.015746981649,127.31819957622,126.210550962747,129.40957085204,118.218831040708,124.73465321413,120.182651625757,119.396100176225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,2016,92.9673655645449,93.310069175612,94.9380786571569,95.4516120492252,95.8104122769937,93.2003320631785,93.4715041369427,95.2900619389401,95.4674659992222,96.1496839843974,82.012194376803,80.8838337368959,82.1718456322935,81.1699195826295,86.1252802160378,81.6990714574584,79.6394914409479,80.9124189078032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,2016,80.8217805553652,94.818901053133,91.9615186392736,90.358225207595,105.080910010994,81.0040330054223,94.9740108110612,92.2796544562039,90.3340431308386,105.453461579169,70.4065242600682,81.415689820757,78.8022173102336,75.8297624690794,93.9278407317566,70.9310924189647,80.9198653148562,78.3986413602242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2016,60.385077366683,88.5220880159136,84.1366583669058,49.4473263398476,46.2824509297771,60.5721355175732,88.6904160324989,84.4913832924444,49.5054213005321,46.4401973042252,58.368285396997,84.9321953041336,80.3462019580674,47.0219210979382,44.8844423261344,56.4257985720997,79.4073913216994,75.0529264881817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2016,96.8755790703494,95.2307345505765,101.695303178893,95.146876680378,82.2964880569018,97.1309994217238,95.3859824020697,102.093492677381,95.2437336964117,82.5810222502957,95.1848924087111,95.0562041058262,100.827838738483,95.0238268543163,81.4444678755139,89.258143927377,85.3311710341822,90.1731788963779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,2016,115.593403009774,118.507259027424,116.218290690879,120.003053806588,109.684028423477,115.908041428259,118.704478089848,116.684841241912,120.131990726479,110.071621752961,113.513853091462,117.1702872859,112.700828482352,118.180715599476,112.547257531385,109.092802628603,109.116244148687,104.877932296628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2016,96.5281343857294,90.7568594534069,92.4226666168862,89.9058032770467,94.305010638037,96.8173439103176,90.9323774704434,92.8116965885937,90.0133732527683,94.6388036676829,91.1786736117495,84.6224486253649,85.6133466248365,83.038537243649,90.897587616383,87.8374918275656,78.2901932528208,79.2660046443077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2016,121.802206925648,131.84067736402,131.997625765674,147.961423602264,112.455184480422,122.231471241654,132.133097245216,132.616880730805,148.220015406754,112.860997538902,118.312900442836,127.667680534251,127.046198023117,142.176101574635,109.933553396445,120.284896506807,125.594726327405,124.859921740453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,2016,119.689016081203,131.725969478817,139.400941204788,112.064197690002,116.083487391551,120.037704729415,131.972914405248,139.98336555592,112.2004235125,116.508116096178,116.922196004095,129.848941080462,136.00495515497,110.120717197551,115.847582799741,107.212832758436,112.499853989535,118.210525070421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2016,119.188134046641,121.718208004328,122.316620967916,123.008249359133,97.5973021087378,119.626316387283,122.013050364337,122.909375054439,123.248541355623,97.9629815797518,117.049042281415,119.59025447708,119.103256833898,120.169872178538,96.7174751183101,113.146011759823,109.556853861197,109.274493520346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
